Timestamp,Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma),Fast,Slow,High Pitched,Low Pitched,Loud,Soft,Consonant / Harmonious,Dissonant,What musical instruments are prominent? (Separate answers with a comma)
4/25/2018 11:38:52,2,3,3,4,2,4,2,2,,1,2,3,3,2,4,5,5,,2,5,4,3,2,1,3,4,,4,4,4,3,2,4,4,4,,1,2,3,4,5,4,3,2,,2,3,2,3,2,3,4,5,,3,2,1,2,3,2,1,2,,4,3,2,1,2,3,4,5,,1,5,1,5,1,2,3,4,,5,4,5,4,5,4,5,4,,1,4,2,4,2,4,2,4,,2,3,3,2,3,2,3,2,,1,5,1,5,1,5,1,5,,2,4,2,3,4,2,2,4,,1,5,1,5,1,5,1,5,,1,5,1,5,1,5,1,5,,4,2,4,2,4,2,4,2,,2,3,2,3,2,3,2,3,,1,4,1,4,1,4,1,4,,1,4,1,4,2,4,2,4,,1,4,1,4,1,4,1,4,,2,3,2,3,2,3,2,3,,1,3,1,3,1,3,1,3,,1,5,1,5,3,3,5,1,,1,2,2,1,2,1,2,1,,1,3,4,4,3,2,4,3,,1,5,5,1,1,5,5,1,,1,1,1,3,3,3,2,4,
4/25/2018 12:35:13,1,4,1,5,4,1,5,1,"horns, brass, drums",1,5,1,5,4,2,4,2,"horn, brass",4,2,5,1,2,4,5,1,"flute, strings",1,5,4,2,2,5,5,1,"flute, harp",2,4,2,4,3,3,4,2,"choir, strings, harp, piano",5,1,5,1,4,2,4,2,"strings, whistle",2,5,2,3,2,4,5,1,"strings, bass, cello",1,5,3,4,1,5,5,1,piano,2,4,4,2,3,4,5,1,strings,2,4,3,3,4,2,5,1,"horns, brass",5,1,3,3,5,1,2,4,"symbols, percussion, drums, horns, brass",5,1,4,2,5,1,4,2,"horns, strings, percussion, orchestra",2,4,2,4,3,4,4,2,"percussion, drums",5,1,3,3,4,2,5,1,"strings, percussion, brass",4,2,4,2,4,2,2,4,"brass, horns",1,5,1,5,2,3,2,4,"horns, accordian",4,2,5,1,4,2,2,5,strings,2,4,3,3,4,2,5,1,"strings, percussion",3,3,5,2,3,4,5,2,"flute, woodwind, harp",5,2,2,4,4,2,3,4,strings,5,1,3,3,5,1,3,4,"percussion, horns, strings",5,1,4,2,3,1,4,3,"piano, keyboard",5,1,3,3,4,1,4,2,"orchestra, percussion, strings, horns",1,5,4,3,2,4,4,3,"flute, horns, woodwinds",3,3,3,3,3,3,4,2,piano,3,4,1,4,4,1,4,2,"drums, horns",3,3,3,1,3,1,3,4,"horns, percussion",5,2,5,1,3,2,5,1,"horns, woodwinds, strings"
4/25/2018 12:48:53,1,5,2,4,4,1,5,1,"Brass, trumpets, drums",1,5,1,5,4,2,4,1,Woodwind,4,1,5,2,3,3,3,3,"Flute, woodwind, brass, drums",1,5,5,1,1,5,4,2,"Flute, harp",1,5,4,4,2,4,2,4,"Choir, harp",5,1,5,1,4,1,4,2,Strings,1,5,4,2,1,5,3,3,Strings,1,5,5,1,2,5,3,3,Piano,1,5,3,3,2,4,4,2,Strings,2,4,2,4,2,4,5,1,Brass,4,4,4,4,5,1,4,4,"Brass, drums",5,1,3,3,5,1,5,1,"Brass, Strings",1,4,2,4,3,3,3,2,"Percussion, drums",5,1,3,3,4,1,5,1,"Strings, drums",1,3,4,4,4,1,1,5,"Brass, saxophone",1,5,4,5,4,1,1,5,accordian,5,1,5,1,5,1,1,5,Strings,1,5,4,1,3,3,4,2,Woodwind,3,3,4,4,3,4,5,1,"Flute, Harp, Strings",5,1,4,4,4,1,2,4,Strings,5,1,5,5,5,1,4,2,"Percussion, Strings, Drums, Brass",5,1,3,3,4,1,4,1,Piano,5,1,5,1,5,1,5,1,"Strings, Brass",1,5,4,1,3,3,3,3,Strings,1,4,3,2,3,3,4,1,Piano,1,5,1,4,5,1,5,1,"Drums, Percussion, Brass",3,3,5,1,4,2,1,5,"Piano, Woodwind, Percussion",4,4,4,1,4,2,4,2,"Strings, Woodwind"
4/25/2018 13:04:36,2,5,2,4,5,1,5,1,"trumpets, drums",1,5,1,5,1,5,2,4,clarinet,4,1,5,1,2,4,5,1,"flute, strings",1,5,4,1,2,5,5,1,"flute, harp",2,3,3,3,2,4,2,4,"chorus, strings",4,2,5,2,4,2,5,1,strings,1,4,3,2,3,3,5,1,strings,1,5,3,3,2,4,5,1,piano,2,4,3,3,3,3,3,3,"violin, strings",2,4,2,4,4,1,5,1,"brass, trumpets",5,1,3,3,5,1,1,5,,5,1,4,1,5,1,5,1,"strings, trumpets",2,4,1,4,1,5,2,4,"xylophone, drums",5,1,4,2,4,2,5,1,"strings, drums",3,3,4,2,4,2,3,3,horns,1,5,1,5,5,1,1,5,accordion,5,1,3,3,4,2,1,5,strings,2,4,4,3,2,4,2,4,oboe,2,3,5,1,1,5,4,1,piccolo,5,1,2,4,4,1,1,5,strings,5,1,3,3,5,1,1,5,,5,1,3,3,5,1,2,4,piano,5,1,4,2,5,3,3,3,"strings, trumpets",1,5,4,2,2,4,2,3,strings,3,3,2,4,4,2,1,4,piano,1,5,3,3,5,1,5,1,"strings, drum",1,5,3,3,5,1,1,5,,2,4,5,2,5,1,3,3,strings
4/25/2018 13:14:14,1,4,4,4,4,2,5,1,"trumpet, bass drum",3,3,1,5,3,3,2,4,bassoon,4,1,4,3,3,3,5,1,"flute, drum",1,4,4,4,1,3,4,3,"harp, flute",3,3,4,4,3,4,1,5,"bass drum, flute, violin, low brass",4,1,3,3,4,1,4,1,"violin, bagpipes",2,3,3,3,3,4,5,1,"violin, viola, harp",1,3,3,3,1,3,4,1,piano,3,3,4,4,2,3,4,1,"oboe, violin",2,3,3,3,3,3,5,1,"trumpet, trombone",5,1,4,4,4,1,2,4,"bass, drum, flute, trumpet, wooden glockenspiel",4,1,4,3,4,2,4,1,"trumpet, violin, bass drum",1,5,2,4,3,4,1,2,"drums, xylorimba",5,1,4,4,3,3,5,1,"violin, viola, bass drum",3,1,4,2,4,4,4,1,saxophone,1,5,3,4,3,3,1,5,"bass clarinet, accordion",4,1,5,4,4,3,1,5,"violin, cello, contrabass",1,5,4,4,2,3,1,4,"flute, trumpet, metal glockenspiel, low brass",3,3,4,4,2,4,3,4,"flute, guitar, contrabass",4,1,4,3,3,3,2,5,"violin, cello",4,1,4,4,4,3,2,4,"bass drum, piccolo, trumpet",5,1,3,3,3,3,2,4,piano,5,1,4,4,3,3,4,4,"flute, trumpet, bass clarinet",1,5,4,3,2,4,1,4,"violin, viola",4,3,4,4,3,3,4,4,piano,1,5,4,4,4,2,4,1,"flute, triangle, bass drum, trumpet, horn",1,5,3,1,3,2,1,5,"castanets, horn",3,3,4,2,2,2,3,3,"flute, violin"
4/25/2018 13:17:11,5,2,5,2,5,2,4,2,Trumpet,3,4,2,5,4,3,4,2,Saxophone,4,1,4,1,5,2,4,2,Flute,3,3,4,2,4,2,5,1,bassons,2,4,3,3,2,4,4,2,Tubas,5,2,5,2,3,3,3,3,"Whistle, Violin",3,4,4,2,4,3,4,2,Violin,2,4,3,2,2,5,4,2,piano,3,3,4,1,3,3,4,2,,2,3,4,3,3,4,4,2,Trumpet,4,2,3,3,4,2,3,3,"French horn, Drums",5,1,4,3,4,1,4,4,Violin,2,4,2,5,3,5,2,3,,4,1,3,3,4,3,4,2,Drums,4,3,4,2,5,2,2,5,Saxophone,4,2,5,1,3,1,2,4,,5,2,5,2,4,2,2,4,violin,4,2,4,2,3,4,3,3,,4,2,4,1,4,2,4,2,flute,5,1,4,2,4,2,4,3,violin,3,4,2,4,3,4,3,3,Saxophone,5,1,4,3,3,2,5,1,piano,4,2,4,2,3,2,4,2,,1,5,4,2,4,3,3,2,violin,2,5,5,3,4,4,3,2,,3,3,4,2,4,3,4,1,drums,2,4,5,2,4,2,3,4,piano,4,3,2,3,4,4,3,3,
4/25/2018 21:10:01,1,4,3,2,4,1,5,1,trumpets,1,4,1,5,3,1,2,4,wind instrument,3,2,4,2,3,3,5,1,flute ,2,4,4,2,3,3,5,1,"harp, flute",2,4,3,3,2,4,1,5,violin,4,2,4,2,4,2,5,1,violin,2,3,3,3,3,3,5,1,violin,2,3,2,3,2,4,5,1,piano,2,3,4,3,2,3,5,1,"violin, clarinet",3,3,4,3,3,3,5,1,"french horn, trumpet",4,1,3,3,5,1,3,4,"horns, drums",5,1,5,1,5,2,5,1,violin,3,4,3,3,2,4,2,4,drums,3,2,4,2,3,2,5,1,"violin, drums",3,2,4,2,3,2,2,4,saxaphone,2,4,2,3,3,2,1,5,,4,2,3,3,4,2,1,5,violin,2,4,3,3,3,3,4,3,strings,2,3,4,3,2,4,5,1,flute,4,2,3,3,3,2,3,4,violin,4,2,3,3,4,2,1,5,"drums, violin",5,1,4,3,4,2,3,4,piano,5,1,5,1,4,2,4,4,"trumpet, violin",2,4,4,3,2,3,3,4,violin,2,3,2,3,3,2,3,4,piano,2,4,3,3,5,1,5,1,"trumpet, drums",2,4,3,3,4,2,2,4,drums,2,3,5,2,4,3,4,2,violin
4/25/2018 21:59:44,1,4,4,3,4,2,4,2,trumpet,2,5,2,5,4,2,4,2,tuba,5,2,5,1,3,2,5,1,violin,1,5,4,3,2,4,5,3,,1,4,3,5,4,2,4,2,,5,3,5,3,4,2,5,2,,1,5,4,2,3,3,4,2,violin,1,5,3,4,2,4,5,2,piano,3,5,5,2,1,3,4,2,violin,1,5,2,4,5,2,4,1,trumpet,5,1,2,5,5,1,3,3,drums,5,1,5,3,5,2,5,1,violin,2,5,1,5,4,2,4,1,drums,5,1,4,1,3,1,4,1,"drums, violin",1,4,4,3,5,2,2,4,woodwind,1,5,2,5,2,3,1,5,,5,1,5,4,5,1,2,4,violin,3,4,3,4,3,2,4,2,,4,3,5,2,2,4,4,2,flute,5,2,3,2,3,3,4,3,violin,5,1,4,5,5,3,3,3,drums,5,1,4,1,3,1,5,1,piano,5,1,5,1,5,1,3,3,,1,5,5,4,2,3,2,4,,5,4,4,4,4,3,5,1,piano,3,5,3,5,5,1,4,2,drums,4,5,4,5,4,2,1,5,,4,2,5,2,2,4,5,1,violin
4/25/2018 23:46:50,2,3,3,2,4,1,5,1,"horn, drum",1,4,1,5,3,1,4,2,oboe,4,1,5,2,3,3,5,1,"flute, violin",2,4,4,3,2,3,5,1,"flute, guitar",4,2,4,3,3,3,3,4,"violin, chorus, strings",4,1,4,1,4,2,5,1,"bagpipe, violin",2,3,4,1,2,3,4,2,"violin, bass",2,3,3,2,2,4,5,1,piano,2,3,5,1,2,4,4,2,violin,2,3,3,3,3,3,5,1,"trumpet, trombone, french horn",4,2,4,3,5,1,3,3,"percussion, horn, strings",5,1,4,1,5,1,5,1,"percussion, violin",3,3,4,2,3,3,3,3,"percussion, xylophone",5,1,4,2,3,2,5,1,violin,4,2,4,2,3,2,2,4,saxophone,2,4,3,2,3,3,1,5,accordion ,4,1,5,1,4,2,2,4,violin,2,4,3,2,2,4,4,3,"violin, percussion",3,3,5,1,2,4,5,1,"piccolo, flute",4,2,3,3,2,4,3,3,violin,4,2,5,1,5,1,4,2,"percussion, violin",5,1,3,3,4,2,5,1,synthetic piano,5,1,4,2,5,1,4,2,"violin, horn",2,4,4,2,3,3,5,1,violin,3,3,3,3,3,3,4,2,piano,3,3,3,2,4,2,5,1,"percussion, strings, woodwind",2,4,3,2,2,4,2,4,"woodblock, violin",4,2,4,2,4,2,5,1,violin
4/26/2018 21:22:55,2,3,4,2,5,3,5,1,horn,1,5,1,5,4,3,3,3,horn,5,1,5,1,3,3,5,1,flute,1,5,5,1,4,5,5,1,flute,1,5,2,5,3,3,5,1,,5,2,5,1,5,1,5,1,violin,2,5,5,1,3,3,5,1,violin,1,5,2,4,2,5,5,1,piano,2,4,5,1,2,5,5,1,violin,2,4,4,2,5,3,5,1,horn,5,1,5,2,5,1,3,3,horn,5,1,5,1,5,1,5,1,horn,2,4,3,5,2,4,3,3,bell,5,1,5,2,3,2,5,2,,5,1,5,1,5,2,2,5,saxophone,3,5,4,3,3,4,3,3,harmonica,5,3,5,2,4,2,4,2,"violin, drum",2,5,5,2,3,5,5,1,,4,2,5,1,3,3,5,1,flute,5,1,5,1,5,1,2,4,violin,4,2,5,2,5,1,4,2,,5,1,5,1,5,1,4,2,piano,5,1,5,1,5,1,5,1,trumpet,1,3,5,1,3,3,4,2,violin,3,3,4,3,5,2,2,3,piano,3,3,5,2,5,1,4,2,drum,3,1,5,1,5,1,3,3,"drum, piano",4,2,5,2,3,3,5,1,flute
4/26/2018 21:23:12,1,5,1,5,5,1,4,2,"trumpets, drums",1,5,1,5,4,2,3,3,woodwinds ,4,2,4,2,2,4,4,2,violin ,2,4,4,2,1,5,5,1,flute,2,4,3,3,4,2,2,4,violin,4,2,5,1,5,1,5,1,"violin, woodwind",2,4,2,4,2,4,5,1,violin ,1,5,2,4,2,4,4,2,piano,1,5,3,3,2,4,5,1,violin,1,5,1,5,2,4,5,1,horn,5,1,1,5,5,1,5,1,"drums, horns",5,1,3,3,5,1,5,1,"violin, horns",1,5,1,5,2,4,2,4,"drums, xylophone ",4,2,2,4,4,2,5,1,"drums, violin",4,2,2,4,4,2,2,4,woodwind,1,5,1,5,2,4,2,4,accordion ,5,1,3,3,3,3,1,5,violin,1,5,2,4,1,5,5,1,"flute, violin",2,4,5,1,1,5,5,1,"flute, violin",2,4,3,3,4,2,1,5,violin,5,1,3,3,5,1,3,3,"drums, violin, trumpet",5,1,3,3,5,1,5,1,piano,5,1,5,1,5,1,5,1, horns,1,5,3,3,2,4,5,1,violins,4,2,3,3,4,2,4,2,piano,1,5,1,5,5,1,4,2,drums,2,4,2,4,2,4,2,4,violins,2,4,4,2,5,1,5,1,"violins, flute"
4/27/2018 0:19:49,2,4,4,2,4,2,5,1,"trumpet, drums",3,4,1,5,3,3,2,4,basoon,5,1,5,1,3,3,4,1,"flute, percussion",1,5,4,1,2,5,5,1,"flute, harp",3,4,3,3,3,3,2,5,"strings, percussion, voice",5,1,5,1,4,2,4,1,"strings, bagpipes, percussion",1,4,2,4,3,3,3,4,"various strings, a cello?",2,4,3,2,1,4,5,2,piano,2,3,4,2,3,3,3,3,"strings, oboe",3,4,2,4,3,2,4,3,"trumpets, horns",5,1,3,4,5,1,2,4,"orchestra, percussion, drums",5,1,4,2,5,1,3,3,"orchestra, trumpet, clarinet, flutes , percussion",3,3,2,4,3,3,2,5,"drums, xylophone, wooden ratchet?",4,2,4,2,4,2,4,1,"drums, strings",4,1,5,1,4,1,1,5,saxophone,1,5,1,5,3,3,5,1,don't know,5,1,5,1,4,2,2,5,"piccolo, strings",1,4,3,3,3,3,2,4,"bells/triangle, wooden blocks",4,2,5,1,3,3,5,1,"flute, strings",5,1,4,2,3,2,2,4,strings,4,2,4,4,4,1,2,4,"base drum, orchestra, trumpet, flute",5,1,5,1,3,1,2,4,piano,5,1,5,1,4,2,4,2,"strings, trumpet",4,2,2,4,2,3,2,4,strings,3,2,4,4,4,4,2,4,strings,1,5,2,4,4,1,3,3,"drum, symbol",2,4,2,4,2,2,2,5,wooden block,4,2,4,2,3,3,3,3,flute
4/27/2018 0:20:52,1,5,4,2,5,1,5,1,trumpet,4,2,1,5,4,1,2,4,bass clarinet,5,1,4,1,1,3,5,1,flute,1,5,5,1,1,4,5,1,"flute, harp",5,1,4,1,4,1,4,2,"voice, violin",5,1,5,1,5,1,5,1,violin ,4,2,4,2,3,3,4,1,"cello, violin, viola",1,4,4,1,1,5,5,1,piano,3,3,4,2,4,1,5,1,violin,5,1,1,4,4,1,5,1,"trumpet, trombone",5,1,4,4,,1,4,1,"trombone, violins, cymbals",5,1,5,1,5,1,5,1,"trumpets, violins, violas",2,4,2,4,1,4,3,2,"jembe, marimba, claves",5,1,5,1,5,1,5,1,"timpani, violins",5,1,5,1,5,1,2,4,saxophone,1,5,4,1,3,3,1,5,accordion,5,1,5,2,5,1,1,5,cello,4,1,4,2,1,3,4,2,,5,1,5,1,4,1,5,1,flute,5,1,1,3,5,1,1,5,"cello, violin",5,1,4,4,5,1,5,2,"piccolo, violin, cello, viola, trumpet, timpani",5,1,5,1,5,1,4,1,,5,1,5,1,5,1,5,1,"trumpet, flute",1,4,5,1,3,4,5,1,violin,4,1,1,4,5,1,4,1,piano,2,4,2,4,5,1,5,1,"timpani, trumpet",4,2,5,1,5,1,3,4,snare,5,1,5,1,5,1,5,1,violin
4/27/2018 0:59:29,2,4,4,2,4,2,4,2,trumpets,1,5,1,5,3,3,4,2,,5,1,5,1,4,3,4,2,flute,1,5,4,2,1,5,4,2,flute,1,5,4,4,2,4,2,4,,5,1,5,1,5,1,4,2,brass,1,5,4,4,4,2,2,4,violin,1,5,2,4,2,4,2,4,piano,2,4,4,4,3,3,2,4,,2,4,4,4,4,2,4,2,brass,5,1,2,4,4,2,3,3,brass,5,1,4,2,4,2,4,2,brass,2,4,2,4,2,4,3,3,drums,4,2,4,4,4,2,4,2,drum,2,4,4,2,4,2,2,4,trumpet,2,4,1,5,2,4,2,4,,4,2,4,4,4,2,2,4,drum,2,4,2,4,2,4,3,3,violin,4,2,4,2,2,4,4,2,flute,3,3,4,2,3,3,2,4,violin,4,2,4,4,4,1,2,4,drum,5,1,3,3,4,2,4,2,piano,5,1,5,1,5,1,4,2,trumpet,1,5,5,2,2,4,2,4,strings,2,4,4,4,3,4,4,2,piano,2,4,2,4,4,2,4,2,drum,2,4,2,4,3,3,4,2,,3,3,4,2,3,3,4,2,